a001,a002,a0031,a0032,a0033,a0034,a0035,a0036,a0037,a004,b00101,b00102,b00103,b00104,b00105,b00106,b00107,b00108,b00109,b00110,b00111,b00112,b00113,b00114,b00115,b002,b003,b004,b005,b0061,b0062,b0063,b0064,b0065,b0066,b0071,b0072,b0073,b0074,b0075,b0081,b0082,b0083,b0084,b0085,c001,c0021,c0022,c0023,c003,c004,c0051,c0052,c0053,c0054,c0055,c0056,c0057,d001,d002,d003,d004,d005,d006,d007,d008,d009,d010
21-30,1-10,0,0,1,0,0,0,0,no,country,,,,,,both,country,,,,planet,planet,,,very concerned,yes,In both,very important,1,,,,1,,1,,1,1,,1,1,,,,disagree,very important,very important,very important,strongly agree,0,disagree,neither agree nor disagree,disagree,strongly disagree,agree,strongly disagree,strongly disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
41-50,11-20,0,0,1,0,0,0,0,no,both,,,,,,both,country,,,,,planet,,,concerned,yes,Mainly in human action,important,1,,,,1,,1,,,1,,1,1,,,,neither agree nor disagree,important,important,important,strongly agree,0,disagree,neither agree nor disagree,disagree,strongly disagree,agree,strongly disagree,disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
21-30,1-10,0,0,1,0,0,1,0,no,,planet,,,,,both,country,,,,,both,,,very concerned,yes,In both,very important,1,1,,,,,1,1,,1,,,1,1,,,disagree,very important,very important,important,strongly agree,0,neither agree nor disagree,agree,disagree,strongly disagree,agree,strongly disagree,disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree
21-30,1-10,0,0,1,0,0,0,0,no,both,,,,,,country,country,,,planet,,planet,,,very concerned,yes,Mainly in human action,very important,1,,,,,,1,1,1,1,,1,1,,,,disagree,important,very important,very important,strongly agree,0,neither agree nor disagree,disagree,disagree,disagree,agree,disagree,strongly disagree,agree,agree,neither agree nor disagree,agree,agree,agree,agree,agree,neither agree nor disagree,agree
31-40,1-10,0,0,1,0,0,0,0,no,both,,,,,,,country,country,,,,planet,,planet,neutral,yes,In both,very important,1,,,,,,1,,,1,,,,1,,,neither agree nor disagree,very important,very important,very important,strongly agree,0,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
31-40,11-20,0,0,1,0,0,1,0,no,country,planet,both,,,,,country,,,,,,,planet,unconcerned,yes,Mainly in natural - environmental factors,unimportant,1,,,,,,1,1,,1,,,,1,,,disagree,very important,very important,important,agree,0,strongly disagree,disagree,disagree,strongly agree,strongly agree,disagree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
21-30,1-10,0,0,1,0,0,1,0,no,both,,country,,,,,,country,,,planet,planet,,,concerned,yes,Mainly in human action,important,1,,,1,1,,1,,,1,,,1,,1,,disagree,very important,important,important,strongly agree,0,neither agree nor disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree,disagree,disagree,disagree,disagree,neither agree nor disagree
41-50,21-30,0,0,1,0,0,0,0,yes,both,both,,,,,,country,,,,,,,planet,neutral,yes,Mainly in human action,neutral,,,,,,1,1,,,,,,,,,,neither agree nor disagree,important,neutral,important,agree,strongly disagree,agree,strongly agree,strongly disagree,agree,strongly agree,agree,disagree,agree,agree,agree,agree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
41-50,21-30,0,0,0,1,0,0,0,no,country,planet,,,,,,country,,both,,,,,planet,neutral,yes,Mainly in human action,important,,,,,1,,,,,1,,,,1,,,agree,important,important,important,agree,0,agree,agree,strongly disagree,agree,strongly agree,agree,disagree,disagree,agree,disagree,disagree,neither agree nor disagree,disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree
51-60,21-30,1,1,0,1,0,0,0,yes,both,planet,,,,,,country,,,country,,,,planet,neutral,yes,Mainly in human action,neutral,,1,,,,,,,1,,,,1,,,,disagree,neutral,neutral,neutral,neither agree nor disagree,0,neither agree nor disagree,agree,strongly disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
51-60,>31,1,0,0,0,0,0,0,no,both,planet,,,,,,country,,country,,,,,planet,very unconcerned,yes,Mainly in natural - environmental factors,very unimportant,,,,,,,,,,,,,,,,,disagree,neutral,unimportant,neutral,strongly disagree,0,neither agree nor disagree,agree,strongly disagree,strongly agree,agree,neither agree nor disagree,agree,strongly agree,strongly agree,strongly agree,agree,agree,agree,agree,agree,agree,agree
31-40,11-20,0,0,0,1,0,0,0,no,planet,planet,,,country,,,,,country,country,,,,planet,concerned,yes,Mainly in human action,very important,1,,,,,,1,,,,,,1,,,,strongly disagree,very important,very important,important,strongly agree,0,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly agree,agree,strongly agree,strongly agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,agree
41-50,11-20,0,0,1,0,0,0,0,no,,,country,,,,both,country,,planet,,,planet,,,concerned,yes,In both,very important,,,,,,1,,,,,1,,1,,,,disagree,important,important,important,agree,0,agree,agree,neither agree nor disagree,neither agree nor disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
41-50,11-20,0,0,1,0,0,0,0,no,,,country,,,,both,country,,planet,,,planet,,,concerned,yes,In both,very important,1,,,,,1,1,,,,,,1,,,,disagree,important,important,important,strongly agree,0,agree,agree,neither agree nor disagree,neither agree nor disagree,agree,agree,disagree,neither agree nor disagree,agree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
21-30,1-10,0,0,1,0,0,1,0,no,planet,,,,,,,country,,both,,,both,,,very concerned,yes,Mainly in human action,very important,1,,,,,1,1,1,1,,,,1,1,1,,neither agree nor disagree,unimportant,neutral,neutral,strongly agree,0,disagree,strongly agree,neither agree nor disagree,strongly disagree,strongly agree,disagree,disagree,agree,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,agree,neither agree nor disagree,neither agree nor disagree
21-30,1-10,0,0,1,0,0,0,0,no,both,planet,planet,planet,both,planet,both,country,both,both,country,planet,planet,planet,planet,very concerned,yes,Mainly in human action,important,1,,,,,,,,,,,,,1,,,disagree,very important,important,important,strongly agree,0,neither agree nor disagree,neither agree nor disagree,disagree,agree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,strongly agree,disagree,disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree
21-30,1-10,0,0,1,0,0,1,0,no,planet,,,,,,,,,country,country,both,planet,,,very concerned,yes,Mainly in human action,very important,1,,,1,,,1,,,1,,1,1,,,,neither agree nor disagree,unimportant,unimportant,unimportant,strongly agree,0,disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,neither agree nor disagree
21-30,1-10,0,0,1,0,0,0,0,yes,planet,planet,both,planet,both,planet,planet,planet,both,planet,both,both,planet,planet,planet,very concerned,yes,Mainly in human action,very important,,,,,,1,,1,,,,1,,,,,strongly disagree,very important,very important,very important,strongly agree,0,strongly disagree,strongly disagree,neither agree nor disagree,disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly agree,agree,disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,agree,agree
51-60,>31,1,1,0,0,0,1,0,no,planet,,,,,,both,,,,country,,both,,,very concerned,yes,Mainly in human action,very important,1,,,,1,,1,,,1,,,1,1,,,neither agree nor disagree,very important,neutral,very important,strongly agree,0,disagree,strongly agree,agree,strongly disagree,strongly agree,disagree,disagree,agree,strongly agree,agree,agree,agree,agree,agree,agree,agree,agree
51-60,>31,1,1,0,0,0,0,0,yes,both,,,,,planet,both,country,,,,,,,,concerned,yes,In both,important,1,,,1,,,1,,,1,,,1,,,,agree,very important,very important,very important,agree,strongly disagree,neither agree nor disagree,strongly agree,strongly agree,agree,strongly agree,strongly agree,neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
41-50,21-30,0,0,0,1,0,1,0,no,planet,,,,,,both,country,,country,,,planet,,,concerned,yes,Mainly in human action,important,,,,,,,,,,,,,,,,,neither agree nor disagree,important,important,important,agree,0,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree
21-30,1-10,0,0,1,0,0,0,0,no,country,,,,country,,planet,,country,,,planet,,,planet,concerned,yes,Mainly in human action,very important,,,,,,,,,,,,,,,,,neither agree nor disagree,neutral,important,important,agree,0,agree,agree,strongly agree,agree,strongly agree,strongly agree,neither agree nor disagree,disagree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,neither agree nor disagree
31-40,1-10,0,0,0,1,0,0,0,yes,both,,,,,,both,country,,,,,,,planet,concerned,yes,Mainly in human action,very important,1,,,,,,1,,1,1,,,,1,,,disagree,very important,very important,very important,strongly agree,0,neither agree nor disagree,agree,neither agree nor disagree,disagree,strongly agree,agree,strongly disagree,agree,strongly agree,agree,agree,agree,strongly agree,agree,agree,agree,strongly agree
31-40,1-10,0,0,1,0,0,0,1,no,country,planet,country,country,,planet,,,,,,,,,planet,unconcerned,no,In both,unimportant,,,,1,,,1,,,,,,,,1,,disagree,important,important,important,neither agree nor disagree,strongly disagree,strongly disagree,agree,disagree,neither agree nor disagree,agree,strongly agree,neither agree nor disagree,agree,strongly agree,agree,agree,agree,agree,agree,agree,agree,agree
21-30,1-10,0,0,1,0,0,1,0,no,both,both,planet,,,,,country,,,,,,,,very unconcerned,dk/no,Mainly in natural - environmental factors,very unimportant,,,,,,,1,,,,,,,1,,,disagree,neutral,important,neutral,neither agree nor disagree,0,neither agree nor disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree
21-30,1-10,0,0,1,0,0,1,0,no,both,both,,,,,,country,,,,,,,planet,concerned,dk/no,Mainly in human action,important,,,,,,,,,,,,,,,,,neither agree nor disagree,important,important,important,strongly agree,0,agree,agree,strongly disagree,neither agree nor disagree,strongly agree,neither agree nor disagree,neither agree nor disagree,disagree,strongly agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,neither agree nor disagree
31-40,1-10,0,0,1,0,0,1,0,no,country,planet,country,country,,planet,,,,,,,,,planet,unconcerned,no,9,unimportant,,,,,,,1,,,,,,,,,1,disagree,neutral,neutral,neutral,neither agree nor disagree,strongly disagree,strongly disagree,agree,disagree,neither agree nor disagree,strongly agree,strongly agree,neither agree nor disagree,agree,agree,strongly agree,agree,agree,agree,agree,agree,agree,agree
31-40,11-20,0,0,1,0,0,1,0,no,country,planet,both,,,,,country,,,,,,,planet,unconcerned,yes,Mainly in natural - environmental factors,unimportant,1,,,,,,1,1,,1,,,,1,,,disagree,very important,important,important,agree,0,strongly disagree,disagree,disagree,strongly agree,strongly agree,disagree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree
31-40,1-10,0,0,1,0,0,1,0,no,both,planet,country,,,,,country,,,,,,,planet,neutral,yes,In both,important,1,,,,,,1,,,1,,,1,1,,,neither agree nor disagree,very important,very important,very important,agree,0,agree,strongly agree,disagree,strongly disagree,strongly agree,agree,neither agree nor disagree,disagree,agree,disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
31-40,1-10,0,0,1,0,0,1,0,no,,planet,,,,,country,country,,,,country,planet,,planet,neutral,yes,Mainly in human action,very important,1,,,,,,1,,,1,,1,1,1,,,strongly disagree,very important,important,important,strongly agree,0,disagree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree,agree,strongly agree,strongly agree,agree,agree,strongly agree,agree,agree,agree,agree
41-50,21-30,0,0,0,1,0,1,0,no,planet,planet,country,,,,country,country,,,,,,,planet,concerned,yes,Mainly in human action,important,,,,,,,,,,,,,,,,,neither agree nor disagree,important,important,important,agree,0,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
51-60,>31,1,1,0,0,0,0,0,yes,both,,,,,planet,both,country,,,,,,,,concerned,yes,In both,important,1,,,1,,,1,,,1,,,1,1,,,agree,very important,very important,very important,agree,strongly disagree,neither agree nor disagree,strongly agree,strongly agree,neither agree nor disagree,agree,agree,neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
31-40,11-20,0,0,1,0,0,0,0,no,planet,,,,,,country,country,,,,country,planet,,planet,concerned,yes,Mainly in human action,important,,1,,,,,1,,,,,1,,,,,disagree,very important,very important,very important,strongly agree,0,agree,strongly agree,disagree,disagree,strongly agree,disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree,disagree,disagree,strongly disagree,strongly disagree,disagree
51-60,>31,1,0,0,0,0,0,0,no,planet,,,,,,,country,,both,,,planet,country,,very concerned,yes,Mainly in human action,very important,1,,,,,,,,,1,,1,1,,,,neither agree nor disagree,very important,very important,very important,strongly agree,0,disagree,neither agree nor disagree,disagree,strongly disagree,neither agree nor disagree,strongly disagree,strongly disagree,agree,strongly agree,agree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
51-60,21-30,0,0,1,0,0,0,0,no,country,,country,,,,both,,,planet,,,planet,,,concerned,yes,Mainly in human action,very important,,,,,1,,1,,,,,,1,1,,,neither agree nor disagree,very important,important,important,agree,0,neither agree nor disagree,neither agree nor disagree,disagree,disagree,agree,neither agree nor disagree,disagree,agree,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
41-50,11-20,0,0,1,0,0,0,0,yes,both,,,,,,both,country,,,,,,,planet,very concerned,yes,Mainly in human action,very important,1,,,,,,1,,,1,,,,1,,,disagree,very important,very important,very important,strongly agree,0,disagree,agree,agree,neither agree nor disagree,agree,strongly disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
51-60,21-30,1,1,0,0,0,0,0,no,,planet,country,,,,both,country,,,,,planet,,,concerned,yes,Mainly in human action,important,1,1,,,,,1,,,,,,,1,,,disagree,important,important,important,agree,0,neither agree nor disagree,agree,disagree,neither agree nor disagree,agree,disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
41-50,11-20,0,0,1,0,0,1,0,no,both,planet,,,,,,country,,both,,,,,,very concerned,yes,Mainly in human action,very important,,,,1,,,1,,,,,,,,1,,strongly disagree,very important,very important,very important,strongly agree,0,agree,strongly agree,strongly disagree,strongly disagree,strongly agree,disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree
41-50,21-30,0,0,1,0,0,0,0,no,country,planet,,,,,,country,,country,,planet,,,planet,neutral,yes,Mainly in human action,important,1,,,,1,,,,,1,,,,1,,,neither agree nor disagree,important,important,important,agree,0,agree,agree,strongly disagree,agree,strongly agree,agree,disagree,disagree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree
51-60,21-30,1,1,0,0,0,0,0,no,both,planet,,,,,,country,,,country,,,,planet,neutral,yes,Mainly in human action,neutral,1,,,,1,,,,1,,,,1,,,,disagree,very important,important,important,agree,0,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
51-60,>31,1,0,0,0,0,0,0,no,both,planet,,,,,,country,,country,,,,,planet,very unconcerned,yes,Mainly in natural - environmental factors,very unimportant,,,,,,,,,,,,,,,,,disagree,neutral,unimportant,unimportant,strongly disagree,0,neither agree nor disagree,agree,strongly disagree,strongly agree,agree,neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
31-40,11-20,0,0,1,0,0,0,0,no,planet,planet,,,,,country,,,country,country,,,,planet,concerned,yes,Mainly in human action,very important,1,,,,,,1,1,1,,,,1,,1,,strongly disagree,very important,very important,very important,agree,0,disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,disagree,neither agree nor disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
41-50,11-20,0,0,1,0,0,0,0,no,,,country,,,,both,country,,planet,,,planet,,,concerned,yes,In both,very important,,,,,1,,,,,1,,,1,,,,disagree,important,important,important,agree,0,agree,agree,neither agree nor disagree,neither agree nor disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
31-40,1-10,0,0,1,0,0,0,0,no,both,,,,,,,country,country,,,,planet,,planet,neutral,yes,In both,very important,1,,,,,,1,,,1,,,,1,,,neither agree nor disagree,very important,very important,very important,strongly agree,0,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
31-40,1-10,0,0,1,0,0,0,0,no,both,,country,,,,,,country,,,planet,planet,,,concerned,yes,Mainly in human action,important,1,,,1,1,,1,,,1,,1,1,,1,,disagree,very important,important,important,strongly agree,0,neither agree nor disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,neither agree nor disagree
41-50,11-20,0,0,1,0,0,0,0,no,,,,,,planet,country,country,country,planet,,,planet,,,neutral,yes,In both,important,1,,,,,,,1,,1,,,1,,,,disagree,very important,very important,very important,strongly agree,0,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree,strongly agree,agree,agree,agree,agree,strongly agree,strongly agree,agree,agree,agree
51-60,>31,1,1,0,0,1,0,0,no,both,planet,,,,,,country,,country,,,,,planet,concerned,yes,In both,important,,,,,1,,1,,1,1,,,1,,,,disagree,important,important,important,agree,0,neither agree nor disagree,neither agree nor disagree,disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree,agree,agree,disagree,disagree,disagree,strongly disagree,disagree,disagree,disagree,neither agree nor disagree
31-40,11-20,0,0,1,0,0,0,0,no,country,planet,,planet,,,planet,country,country,,,,,,,very concerned,yes,Mainly in human action,very important,1,,,,,,1,,,,,1,,,,,disagree,very important,important,important,strongly agree,0,neither agree nor disagree,strongly agree,neither agree nor disagree,disagree,strongly agree,disagree,disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,agree,neither agree nor disagree,neither agree nor disagree,agree
31-40,1-10,0,0,1,0,0,0,0,no,both,,,,,,planet,country,,country,,,,,planet,concerned,yes,In both,very important,1,,,,,,1,,,,,,1,,,,neither agree nor disagree,very important,very important,very important,strongly agree,0,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree
31-40,11-20,0,0,0,0,0,1,0,no,country,planet,,,,planet,,country,,country,,,,,planet,concerned,yes,Mainly in human action,important,1,,,,,,1,,,1,,,,1,,,neither agree nor disagree,very important,very important,very important,strongly agree,0,disagree,neither agree nor disagree,disagree,strongly disagree,disagree,disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
21-30,1-10,0,0,1,0,0,0,0,no,planet,,country,,,,both,country,,planet,,,,,,very concerned,yes,Mainly in human action,very important,1,,,,,,1,,,,,,,,,1,neither agree nor disagree,neutral,very important,very important,strongly agree,0,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,agree,disagree,disagree,disagree,strongly agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,disagree,disagree
31-40,1-10,0,0,1,0,0,0,0,no,both,,,,,,both,,both,,,,,,,concerned,yes,Mainly in human action,very important,,,,,1,,1,,,,,,,,,1,disagree,important,important,important,strongly agree,0,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly agree,disagree,neither agree nor disagree,disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,neither agree nor disagree
31-40,1-10,0,0,1,0,1,0,0,no,planet,planet,planet,planet,planet,planet,both,both,planet,planet,planet,planet,both,planet,planet,neutral,yes,Mainly in human action,neutral,1,1,,,,,,1,,,,,,,,,disagree,unimportant,unimportant,unimportant,disagree,0,agree,agree,disagree,agree,strongly agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,strongly disagree
51-60,21-30,1,0,0,0,0,0,0,no,planet,planet,planet,planet,planet,planet,both,both,planet,planet,planet,planet,planet,planet,planet,very unconcerned,dk/no,9,unimportant,,,,,,,,,,,,,,,,,strongly disagree,unimportant,very unimportant,very unimportant,strongly disagree,0,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree
51-60,21-30,0,0,1,0,0,1,0,yes,both,both,both,both,both,planet,both,both,both,both,planet,both,both,both,planet,concerned,yes,Mainly in human action,very important,1,,,,,,,,,1,,,,,,,strongly agree,very important,very important,very important,strongly agree,0,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,strongly agree,disagree,disagree,agree,agree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree
21-30,1-10,0,0,1,0,0,1,0,no,planet,planet,planet,planet,planet,planet,both,both,planet,both,both,planet,planet,planet,planet,concerned,yes,In both,important,,,,,,1,,,,,1,,,,,,neither agree nor disagree,very important,very important,very important,strongly agree,0,agree,agree,agree,neither agree nor disagree,strongly agree,disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,agree,agree,agree,neither agree nor disagree
31-40,1-10,0,0,1,0,0,0,0,no,both,planet,country,,,,,country,,,,,,,planet,neutral,yes,In both,important,1,,,,,,1,,,1,,,1,,,,neither agree nor disagree,very important,very important,very important,agree,0,agree,strongly agree,disagree,strongly disagree,strongly agree,agree,neither agree nor disagree,disagree,agree,disagree,neither agree nor disagree,disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
21-30,1-10,0,0,1,0,0,0,0,no,,,country,,,,planet,,country,,,,planet,,planet,neutral,yes,Mainly in human action,important,1,,,,,,1,,,,,,,1,,,disagree,important,important,neutral,agree,0,neither agree nor disagree,agree,neither agree nor disagree,disagree,agree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,disagree,agree,disagree,disagree,disagree
31-40,1-10,0,0,1,0,0,0,0,no,,planet,,,,,country,country,,,,country,planet,,planet,neutral,yes,Mainly in human action,very important,1,,,,,,1,,,1,,1,1,,,,strongly disagree,very important,important,important,strongly agree,0,disagree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,disagree,neither agree nor disagree,strongly agree,strongly agree,agree,agree,agree,strongly agree,strongly agree,agree,agree,agree
31-40,1-10,0,0,1,0,0,0,0,no,both,,planet,,,,,country,,both,,,,,,concerned,yes,Mainly in human action,important,1,,,,,,1,,,,,,,,,,disagree,very important,very important,very important,strongly agree,0,strongly disagree,disagree,disagree,disagree,disagree,neither agree nor disagree,disagree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
31-40,1-10,0,0,1,0,0,0,0,no,both,planet,,,,,country,country,,planet,,,,,,neutral,yes,Mainly in human action,important,1,,,,,,1,,,,,,1,,,,disagree,important,important,important,agree,0,disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,neither agree nor disagree,disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
51-60,21-30,1,0,0,0,0,0,0,no,planet,planet,,,,,country,country,,country,,,,,planet,unconcerned,yes,In both,neutral,,,,,,,,,,,,,,,,,neither agree nor disagree,important,neutral,neutral,agree,0,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,strongly agree,neither agree nor disagree,disagree,disagree,disagree,strongly disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
31-40,1-10,0,0,1,0,0,0,0,no,country,,,,,,both,country,,planet,,planet,,,,neutral,yes,Mainly in human action,neutral,1,,,,,,1,,,,,,,1,,,neither agree nor disagree,important,important,important,agree,0,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree,agree,agree,disagree,neither agree nor disagree,neither agree nor disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree
31-40,1-10,0,0,1,0,0,1,0,no,country,,,,country,,planet,,country,,,planet,,,planet,concerned,yes,Mainly in human action,very important,,,,,,,,,,,,,,,,,neither agree nor disagree,neutral,important,important,agree,0,agree,agree,strongly agree,agree,strongly agree,agree,disagree,disagree,neither agree nor disagree,disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,disagree,disagree
